#Elapsed Time (secs),Bytes Received,Requests Serviced, Requests Failed, Comment
   0.00996,       1034,          0,          0, (null)
   0.02704,       1034,          1,          0, /courses/ud923/filecorpus/1kb-sample-file-1.html
   1.01009,       2107,          1,          0, (null)
   1.01573,       2107,          2,          0, /courses/ud923/filecorpus/1kb-sample-file-2.png
   2.01067,       3402,          2,          0, (null)
   2.02134,       3402,          3,          0, /courses/ud923/filecorpus/1kb-sample-file-3.jpg
   3.01926,       4675,          3,          0, (null)
   3.02897,       4675,          4,          0, /courses/ud923/filecorpus/1kb-sample-file-4.png
   4.01258,       6723,          4,          0, (null)
   4.01305,      10819,          4,          0, (null)
   4.01318,      14915,          4,          0, (null)
   4.01329,      16963,          4,          0, (null)
   4.01491,      21059,          4,          0, (null)
   4.01501,      23107,          4,          0, (null)
   4.01527,      27203,          4,          0, (null)
   4.01540,      31299,          4,          0, (null)
   4.01553,      33347,          4,          0, (null)
   4.01566,      35395,          4,          0, (null)
   4.01578,      37443,          4,          0, (null)
   4.01590,      39491,          4,          0, (null)
   4.01632,      43587,          4,          0, (null)
   4.03506,      47683,          4,          0, (null)
   4.03522,      51779,          4,          0, (null)
   4.03568,      55875,          4,          0, (null)
   4.03582,      59971,          4,          0, (null)
   4.03609,      64067,          4,          0, (null)
   4.03674,      68163,          4,          0, (null)
   4.03704,      72259,          4,          0, (null)
   4.03716,      76355,          4,          0, (null)
   4.03782,      80451,          4,          0, (null)
   4.03849,      84547,          4,          0, (null)
   4.03889,      88643,          4,          0, (null)
   4.03904,      92739,          4,          0, (null)
   4.03918,      96835,          4,          0, (null)
   4.03938,     100931,          4,          0, (null)
   4.03981,     105027,          4,          0, (null)
   4.04009,     109123,          4,          0, (null)
   4.04039,     113219,          4,          0, (null)
   4.04096,     117315,          4,          0, (null)
   4.04116,     121411,          4,          0, (null)
   4.04127,     125507,          4,          0, (null)
   4.04137,     129603,          4,          0, (null)
   4.04146,     133699,          4,          0, (null)
   4.04157,     137795,          4,          0, (null)
   4.04168,     141891,          4,          0, (null)
   4.04178,     145987,          4,          0, (null)
   4.04188,     150083,          4,          0, (null)
   4.04198,     154179,          4,          0, (null)
   4.04208,     158275,          4,          0, (null)
   4.04218,     162371,          4,          0, (null)
   4.04229,     166467,          4,          0, (null)
   4.04238,     170563,          4,          0, (null)
   4.04273,     174659,          4,          0, (null)
   4.04395,     178755,          4,          0, (null)
   4.04798,     180803,          4,          0, (null)
   4.04879,     184899,          4,          0, (null)
   4.05702,     188995,          4,          0, (null)
   4.05754,     193091,          4,          0, (null)
   4.05783,     197187,          4,          0, (null)
   4.05841,     201283,          4,          0, (null)
   4.05854,     205379,          4,          0, (null)
   4.05905,     209475,          4,          0, (null)
   4.05979,     213571,          4,          0, (null)
   4.05995,     217667,          4,          0, (null)
   4.06049,     221763,          4,          0, (null)
   4.06698,     225859,          4,          0, (null)
   4.06748,     229955,          4,          0, (null)
   4.06851,     234051,          4,          0, (null)
   4.06923,     237849,          4,          0, (null)
   4.07899,     237849,          5,          0, /courses/ud923/filecorpus/paraglider.jpg
   5.04823,     241926,          5,          0, (null)
   5.04847,     246022,          5,          0, (null)
   5.04861,     250118,          5,          0, (null)
   5.04874,     254214,          5,          0, (null)
   5.05082,     258310,          5,          0, (null)
   5.05103,     262406,          5,          0, (null)
   5.05116,     266502,          5,          0, (null)
   5.05128,     270598,          5,          0, (null)
   5.05141,     274694,          5,          0, (null)
   5.05154,     278790,          5,          0, (null)
   5.05165,     282886,          5,          0, (null)
   5.05177,     284953,          5,          0, (null)
   5.05196,     287001,          5,          0, (null)
   5.05213,     289049,          5,          0, (null)
   5.05225,     291097,          5,          0, (null)
   5.05236,     293145,          5,          0, (null)
   5.05247,     295193,          5,          0, (null)
   5.06762,     299289,          5,          0, (null)
   5.06777,     303385,          5,          0, (null)
   5.06847,     307481,          5,          0, (null)
   5.06861,     311577,          5,          0, (null)
   5.06872,     315673,          5,          0, (null)
   5.06894,     319769,          5,          0, (null)
   5.06907,     323865,          5,          0, (null)
   5.06916,     327961,          5,          0, (null)
   5.06991,     332057,          5,          0, (null)
   5.07012,     336153,          5,          0, (null)
   5.07410,     340249,          5,          0, (null)
   5.07451,     344345,          5,          0, (null)
   5.07498,     348441,          5,          0, (null)
   5.08448,     352537,          5,          0, (null)
   5.08521,     356633,          5,          0, (null)
   5.08567,     360729,          5,          0, (null)
   5.08701,     364825,          5,          0, (null)
   5.08816,     368921,          5,          0, (null)
   5.08826,     373017,          5,          0, (null)
   5.08848,     376026,          5,          0, (null)
   5.09414,     376026,          6,          0, /courses/ud923/filecorpus/road.jpg
   6.07199,     380122,          6,          0, (null)
   6.07218,     384218,          6,          0, (null)
   6.07243,     388314,          6,          0, (null)
   6.07294,     392410,          6,          0, (null)
   6.07310,     396506,          6,          0, (null)
   6.07325,     398554,          6,          0, (null)
   6.07340,     400602,          6,          0, (null)
   6.07352,     402650,          6,          0, (null)
   6.07369,     406746,          6,          0, (null)
   6.07382,     408794,          6,          0, (null)
   6.07397,     412890,          6,          0, (null)
   6.07425,     416986,          6,          0, (null)
   6.07439,     419034,          6,          0, (null)
   6.11101,     423130,          6,          0, (null)
   6.11455,     427226,          6,          0, (null)
   6.11472,     431322,          6,          0, (null)
   6.11507,     435418,          6,          0, (null)
   6.11528,     439514,          6,          0, (null)
   6.11602,     443610,          6,          0, (null)
   6.11620,     447706,          6,          0, (null)
   6.12477,     451802,          6,          0, (null)
   6.12517,     455898,          6,          0, (null)
   6.12538,     459994,          6,          0, (null)
   6.12561,     464090,          6,          0, (null)
   6.12577,     468186,          6,          0, (null)
   6.12596,     472282,          6,          0, (null)
   6.12608,     476378,          6,          0, (null)
   6.12620,     480270,          6,          0, (null)
   6.13095,     480270,          7,          0, /courses/ud923/filecorpus/yellowstone.jpg
   7.08195,     482318,          7,          0, (null)
   7.08218,     484366,          7,          0, (null)
   7.08235,     486414,          7,          0, (null)
   7.08249,     488462,          7,          0, (null)
   7.08276,     490510,          7,          0, (null)
   7.08291,     492558,          7,          0, (null)
   7.08387,     496654,          7,          0, (null)
   7.08403,     498702,          7,          0, (null)
   7.08416,     500750,          7,          0, (null)
   7.08429,     502798,          7,          0, (null)
   7.08442,     504846,          7,          0, (null)
   7.08455,     506894,          7,          0, (null)
   7.08468,     508942,          7,          0, (null)
   7.08484,     513038,          7,          0, (null)
   7.08504,     515086,          7,          0, (null)
   7.08538,     519182,          7,          0, (null)
   7.10170,     523278,          7,          0, (null)
   7.10184,     527374,          7,          0, (null)
   7.10192,     531470,          7,          0, (null)
   7.10201,     535566,          7,          0, (null)
   7.10209,     539662,          7,          0, (null)
   7.10217,     543758,          7,          0, (null)
   7.10226,     547854,          7,          0, (null)
   7.10234,     551950,          7,          0, (null)
   7.10253,     556046,          7,          0, (null)
   7.10263,     560142,          7,          0, (null)
   7.10281,     564238,          7,          0, (null)
